mastar,verleden_tijd_enkelvoud,verleden_tijd_meervoud,voltooid_tijd,aile_kodu,aile_adi,betekenis_tr,betekenis_en
bijhouden,hield bij,hielden bij,hebben bijgehouden,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),takip etmek / güncel tutmak,to keep track of / to keep up
bijten,beet,beten,hebben gebeten,K1_ij-ee-e,ij → ee → e (blijven tipi),ısırmak,to bite
blazen,blies,bliezen,hebben geblazen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),üflemek,to blow
blijken,bleek,bleken,zijn gebleken,K1_ij-ee-e,ij → ee → e (blijven tipi),ortaya çıkmak / anlaşılmak,to turn out / to appear
blijven,bleef,bleven,zijn gebleven,K1_ij-ee-e,ij → ee → e (blijven tipi),kalmak,to stay
breken,brak,braken,hebben gebroken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),kırmak,to break
brengen,bracht,brachten,hebben gebracht,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),getirmek,to bring
buigen,boog,bogen,hebben gebogen,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),bükmek / eğilmek,to bend
dalen,daalde,daalden,zijn gedaald,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),azalmak / inmek,to descend / to fall
deelnemen,nam deel,namen deel,hebben deelgenomen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),katılmak,to take part
denken,dacht,dachten,hebben gedacht,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),düşünmek,to think
doen,deed,deden,hebben gedaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",yapmak,to do
doortrekken,trok door,trokken door,hebben doorgetrokken,K3_i-o-o,i/e → o → o (vinden/breken tipi),devam ettirmek / uzatmak,to continue / to extend
dragen,droeg,droegen,hebben gedragen,K6_a-oe-a,a → oe → a (dragen tipi),taşımak / giymek,to carry / to wear
drinken,dronk,dronken,hebben gedronken,K3_i-o-o,i/e → o → o (vinden/breken tipi),içmek,to drink
dwingen,dwong,dwongen,hebben gedwongen,K3_i-o-o,i/e → o → o (vinden/breken tipi),zorlamak,to force
ervaren,ervaarde,ervaarden,hebben ervaren,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),deneyimlemek,to experience
eten,at,aten,hebben gegeten,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),yemek,to eat
fluiten,floot,floten,hebben gefloten,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),ıslık çalmak,to whistle
gaan,ging,gingen,zijn gegaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",gitmek,to go
gedragen,gedroeg,gedroegen,hebben gedragen,K6_a-oe-a,a → oe → a (dragen tipi),davranmak,to behave
gelden,gold,golden,hebben gegolden,K3_i-o-o,i/e → o → o (vinden/breken tipi),geçerli olmak,to apply / to be valid
genezen,genas,genazen,hebben/zijn genezen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),iyileşmek / iyileştirmek,to heal / to cure
genieten,genoot,genoten,hebben genoten,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),keyif almak,to enjoy
geven,gaf,gaven,hebben gegeven,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),vermek,to give
glijden,gleed,gleden,hebben/zijn gegleden,K1_ij-ee-e,ij → ee → e (blijven tipi),kaymak,to slide
graven,groef,groeven,hebben gegraven,K6_a-oe-a,a → oe → a (dragen tipi),kazmak,to dig
hangen,hing,hingen,hebben gehangen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),asmak / asılı olmak,to hang
hardlopen,liep hard,liepen hard,hebben hardgelopen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),koşmak,to run
hebben,had,hadden,hebben gehad,MODAAL_ONREGELMATIG,Modal/yardımcı fiiller (kunnen mogen moeten zijn hebben worden zullen),sahip olmak,to have
helpen,hielp,hielpen,hebben geholpen,K14_e-ie-o,e → ie → o (nadiren),yardım etmek,to help
heten,heette,heetten,hebben geheten,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),adı olmak,to be called
hoeven,hoefde,hoefden,hebben gehoeven,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),gerek olmak,to need (to)
houden,hield,hielden,hebben gehouden,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),tutmak / sevmek,to hold / to love
inbreken,brak in,braken in,hebben ingebroken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),zorla girmek,to break in
ingaan,ging in,gingen in,zijn ingegaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",girmek / değinmek,to go in / to enter
ingrijpen,greep in,grepen in,hebben ingegrepen,K1_ij-ee-e,ij → ee → e (blijven tipi),müdahale etmek,to intervene
kiezen,koos,kozen,hebben gekozen,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),seçmek,to choose
kijken,keek,keken,hebben gekeken,K1_ij-ee-e,ij → ee → e (blijven tipi),bakmak,to look
klinken,klonk,klonken,hebben geklonken,K3_i-o-o,i/e → o → o (vinden/breken tipi),kulağa gelmek,to sound
knijpen,kneep,knepen,hebben geknepen,K1_ij-ee-e,ij → ee → e (blijven tipi),sıkmak / çimdiklemek,to pinch / to squeeze
komen,kwam,kwamen,zijn gekomen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),gelmek,to come
kopen,kocht,kochten,hebben gekocht,K3_i-o-o,i/e → o → o (vinden/breken tipi),satın almak,to buy
krijgen,kreeg,kregen,hebben gekregen,K1_ij-ee-e,ij → ee → e (blijven tipi),almak,to get / to receive
kunnen,kon,konden,hebben gekund,MODAAL_ONREGELMATIG,Modal/yardımcı fiiller (kunnen mogen moeten zijn hebben worden zullen),-ebilmek,can / to be able to
lachen,lachte,lachten,hebben gelachen,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),gülmek,to laugh
laten,liet,lieten,hebben gelaten,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),bırakmak / yaptırmak,to let / to leave
lezen,las,lazen,hebben gelezen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),okumak,to read
liggen,lag,lagen,hebben gelegen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),yatmak / uzanmak,to lie / to be situated
lijken,leek,leken,hebben geleken,K1_ij-ee-e,ij → ee → e (blijven tipi),benzemek / görünmek,to seem / to look like
lopen,liep,liepen,hebben/zijn gelopen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),yürümek,to walk
meedoen,deed mee,deden mee,hebben meegedaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",katılmak,to join in
meten,mat,maten,hebben gemeten,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),ölçmek,to measure
misgaan,ging mis,gingen mis,zijn misgegaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",ters gitmek,to go wrong
misleiden,misleidde,misleidden,hebben misleid,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),yanıltmak,to mislead
mislukken,mislukte,mislukten,zijn mislukt,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),başarısız olmak,to fail
moeten,moest,moesten,hebben gemoeten,MODAAL_ONREGELMATIG,Modal/yardımcı fiiller (kunnen mogen moeten zijn hebben worden zullen),-meli / -malı,must / to have to
mogen,mocht,mochten,hebben gemogen,MODAAL_ONREGELMATIG,Modal/yardımcı fiiller (kunnen mogen moeten zijn hebben worden zullen),izin verilmek,may / to be allowed to
naderen,naderde,naderden,zijn genaderd,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),yaklaşmak,to approach
nakomen,kwam na,kwamen na,zijn nagekomen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),uymak / yerine getirmek,to comply with / to honour
nemen,nam,namen,hebben genomen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),almak,to take
onderbreken,onderbrak,onderbraken,hebben onderbroken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),bölmek / kesmek,to interrupt
ondersteunen,ondersteunde,ondersteunden,hebben ondersteund,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),desteklemek,to support
onderstrepen,onderstreepte,onderstreepten,hebben onderstreept,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),altını çizmek,to underline
ondertekenen,ondertekende,ondertekenden,hebben ondertekend,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),imzalamak,to sign
ontbreken,ontbrak,ontbraken,hebben ontbroken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),eksik olmak,to be missing
onthouden,onthield,onthielden,hebben onthouden,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),hatırlamak / saklamak,to remember / to withhold
ontslaan,ontsloeg,ontsloegen,hebben ontslagen,K6_a-oe-a,a → oe → a (dragen tipi),işten çıkarmak / serbest bırakmak,to dismiss / to release
ontsnappen,ontsnapte,ontsnapten,zijn ontsnapt,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),kaçmak,to escape
ontstaan,ontstond,ontstonden,zijn ontstaan,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),oluşmak / ortaya çıkmak,to arise / to originate
ontvangen,ontving,ontvingen,hebben ontvangen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),almak / karşılamak,to receive
ontwerpen,ontwierp,ontwierpen,hebben ontworpen,K14_e-ie-o,e → ie → o (nadiren),tasarlamak,to design
opdoen,deed op,deden op,hebben opgedaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",edinmek,to gain / to acquire
openstaan,stond open,stonden open,hebben opengestaan,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),açık olmak,to be open
opkomen (voor),kwam op,kwamen op,zijn opgekomen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),savunmak / ortaya çıkmak,to stand up (for) / to come up
opladen,laadde op,laadden op,hebben opgeladen,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),şarj etmek / yüklemek,to charge / to load
opnemen,nam op,namen op,hebben opgenomen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),almak / kaydetmek,to pick up / to record
opslaan,sloeg op,sloegen op,hebben opgeslagen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),kaydetmek / depolamak,to save / to store
optreden,trad op,traden op,hebben opgetreden,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),sahne almak / müdahale etmek,to perform / to act
opvallen,viel op,vielen op,zijn opgevallen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),dikkat çekmek,to stand out
overdrijven,overdreef,overdreven,hebben overdreven,K1_ij-ee-e,ij → ee → e (blijven tipi),abartmak,to exaggerate
overgaan,ging over,gingen over,zijn overgegaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",geçmek / sona ermek,to pass / to end
overgeven,gaf over,gaven over,hebben overgegeven,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),teslim etmek / kusmak,to hand over / to throw up
overhouden,hield over,hielden over,hebben overgehouden,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),arttırmak / elde kalmak,to have left over
overkomen,overkwam,overkwamen,zijn overgekomen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),başına gelmek,to happen to / to come over
overlijden,overleed,overleden,zijn overleden,K1_ij-ee-e,ij → ee → e (blijven tipi),vefat etmek,to pass away
overnemen,nam over,namen over,hebben overgenomen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),devralmak,to take over
overstappen,stapte over,stapten over,zijn overgestapt,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),aktarma yapmak / geçmek,to transfer / to switch
oversteken,stak over,staken over,zijn overgestoken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),karşıya geçmek,to cross
overtuigen,overtuigde,overtuigden,hebben/zijn overtuigd,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),ikna etmek,to convince
overvallen,overviel,overvielen,hebben overvallen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),soymak / baskın yapmak,to rob / to raid
plaatsvinden,vond plaats,vonden plaats,hebben plaatsgevonden,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),gerçekleşmek,to take place
rijden,reed,reden,hebben/zijn gereden,K1_ij-ee-e,ij → ee → e (blijven tipi),araba sürmek / gitmek,to drive / to ride
roepen,riep,riepen,hebben geroepen,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),çağırmak / bağırmak,to call / to shout
rondhangen,hing rond,hingen rond,hebben rondgehangen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),aylaklık etmek,to hang around
ruiken,rook,roken,hebben geroken,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),koklamak / kokmak,to smell
scheiden,scheidde,scheidden,hebben gescheiden,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),ayırmak / boşanmak,to separate / to divorce
schelden,schold,scholden,hebben gescholden,K3_i-o-o,i/e → o → o (vinden/breken tipi),küfretmek,to swear / to scold
schijnen,scheen,schenen,hebben geschenen,K1_ij-ee-e,ij → ee → e (blijven tipi),parlamak / görünmek,to shine / to appear
schoonhouden,hield schoon,hielden schoon,hebben schoongehouden,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),temiz tutmak,to keep clean
schrijven,schreef,schreven,hebben geschreven,K1_ij-ee-e,ij → ee → e (blijven tipi),yazmak,to write
schrikken,schrok,schrokken,zijn geschrokken,K1_ij-ee-e,ij → ee → e (blijven tipi),korkmak / irkilmek,to be startled
slaan,sloeg,sloegen,hebben geslagen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),vurmak,to hit
slapen,sliep,sliepen,hebben geslapen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),uyumak,to sleep
slippen,slipte,slipten,zijn geslipt,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),kaymak,to slip
sluiten,sloot,sloten,hebben gesloten,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),kapatmak,to close
smelten,smolt,smolten,hebben/zijn gesmolten,K3_i-o-o,i/e → o → o (vinden/breken tipi),erimek,to melt
snijden,sneed,sneden,hebben gesneden,K1_ij-ee-e,ij → ee → e (blijven tipi),kesmek,to cut
snuiten,snoot,snoten,hebben gesnoten,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),sümkürmek,to blow (one's nose)
spreken,sprak,spraken,hebben gesproken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),konuşmak,to speak
springen,sprong,sprongen,hebben/zijn gesprongen,K3_i-o-o,i/e → o → o (vinden/breken tipi),zıplamak,to jump
staan,stond,stonden,hebben gestaan,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),durmak / ayakta olmak,to stand
stappen (in),stapte,stapten,zijn gestapt,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),binmek / adım atmak,to get (in) / to step
steken,stak,staken,hebben gestoken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),sokmak / batırmak,to stick / to sting
stelen,stal,stalen,hebben gestolen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),çalmak,to steal
sterven,stierf,stierven,zijn gestorven,K14_e-ie-o,e → ie → o (nadiren),ölmek,to die
stijgen,steeg,stegen,zijn gestegen,K1_ij-ee-e,ij → ee → e (blijven tipi),yükselmek,to rise
stikken,stikte,stikten,zijn gestikt,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),boğulmak,to suffocate / to choke
stinken,stonk,stonken,hebben gestonken,K3_i-o-o,i/e → o → o (vinden/breken tipi),kokuşmak,to stink
strijden,streed,streden,hebben gestreden,K1_ij-ee-e,ij → ee → e (blijven tipi),savaşmak,to fight / to struggle
strijken,streek,streken,hebben gestreken,K1_ij-ee-e,ij → ee → e (blijven tipi),ütülemek,to iron
tegengaan,ging tegen,gingen tegen,zijn tegengegaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",karşı koymak / engellemek,to counter / to oppose
tegenhouden,hield tegen,hielden tegen,hebben tegengehouden,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),durdurmak / alıkoymak,to stop / to hold back
tegenkomen,kwam tegen,kwamen tegen,zijn tegengekomen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),rastlamak,to meet / to run into
terechtkomen,kwam terecht,kwamen terecht,zijn terechtgekomen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),yerleşmek / sonuçlanmak,to end up
toegeven,gaf toe,gaven toe,hebben toegegeven,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),kabul etmek / itiraf etmek,to admit / to give in
toekomen (aan),kwam toe,kwamen toe,zijn toegekomen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),vakit bulmak,to get around (to) / to be due
toenemen,nam toe,namen toe,zijn toegenomen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),artmak,to increase
trekken,trok,trokken,hebben getrokken,K3_i-o-o,i/e → o → o (vinden/breken tipi),çekmek,to pull
uitgaan,ging uit,gingen uit,zijn uitgegaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",dışarı çıkmak / sönmek,to go out
uitgeven,gaf uit,gaven uit,hebben uitgegeven,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),harcamak / yayınlamak,to spend / to publish
uitkijken,keek uit,keken uit,hebben uitgekeken,K1_ij-ee-e,ij → ee → e (blijven tipi),dikkat etmek / etrafa bakmak,to watch out / to look out
uitsteken,stak uit,staken uit,hebben uitgestoken,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),uzatmak / dışarı çıkarmak,to stick out
uittrekken,trok uit,trokken uit,hebben uitgetrokken,K3_i-o-o,i/e → o → o (vinden/breken tipi),çıkarmak (giysi),to take off (clothes)
uitzenden,zond uit,zonden uit,hebben uitgezonden,K3_i-o-o,i/e → o → o (vinden/breken tipi),yayınlamak,to broadcast
uitzoeken,zocht uit,zochten uit,hebben uitgezocht,K11_oe-ee-o,oe/ie → ee/o → o (roepen/genieten tipi),araştırmak / seçmek,to sort out / to figure out
vallen,viel,vielen,zijn gevallen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),düşmek,to fall
vangen,ving,vingen,hebben gevangen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),yakalamak,to catch
varen,voer,voeren,hebben/zijn gevaren,K6_a-oe-a,a → oe → a (dragen tipi),gemiyle gitmek,to sail
vechten,vocht,vochten,hebben gevochten,K3_i-o-o,i/e → o → o (vinden/breken tipi),dövüşmek,to fight
verbergen,verborg,verborgen,hebben verborgen,K3_i-o-o,i/e → o → o (vinden/breken tipi),saklamak,to hide
verbieden,verbood,verboden,hebben verboden,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),yasaklamak,to forbid
verbinden,verbond,verbonden,hebben verbonden,K3_i-o-o,i/e → o → o (vinden/breken tipi),bağlamak,to connect / to bind
verblijven,verbleef,verbleven,hebben verbleven,K1_ij-ee-e,ij → ee → e (blijven tipi),kalmak / ikamet etmek,to stay / to reside
verdrinken,verdronk,verdronken,zijn verdronken,K3_i-o-o,i/e → o → o (vinden/breken tipi),boğulmak,to drown
verdubbelen,verdubbelde,verdubbelden,hebben/zijn verdubbeld,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),ikiye katlamak,to double
verdwalen,verdwaalde,verdwaalden,zijn verdwaald,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),yolunu kaybetmek,to get lost
vergelijken,vergeleek,vergeleken,hebben vergeleken,K1_ij-ee-e,ij → ee → e (blijven tipi),karşılaştırmak,to compare
vergeten,vergat,vergaten,zijn vergeten,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),unutmak,to forget
verkopen,verkocht,verkochten,hebben verkocht,K3_i-o-o,i/e → o → o (vinden/breken tipi),satmak,to sell
verliezen,verloor,verloren,hebben/zijn verloren,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),kaybetmek,to lose
verlopen,verliep,verliepen,zijn verlopen,K14_e-ie-o,e → ie → o (nadiren),geçmek / iyi gitmek,to expire / to go
vermijden,vermeed,vermeden,hebben vermeden,K1_ij-ee-e,ij → ee → e (blijven tipi),kaçınmak,to avoid
verschijnen,verscheen,verschenen,zijn verschenen,K1_ij-ee-e,ij → ee → e (blijven tipi),ortaya çıkmak,to appear
verstaan,verstond,verstonden,hebben verstaan,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),anlamak / duymak,to understand / to hear
vertrekken,vertrok,vertrokken,zijn vertrokken,K3_i-o-o,i/e → o → o (vinden/breken tipi),ayrılmak / yola çıkmak,to leave / to depart
vervangen,verving,vervingen,hebben vervangen,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),değiştirmek,to replace
verzinnen,verzon,verzonnen,hebben verzonnen,K3_i-o-o,i/e → o → o (vinden/breken tipi),uydurmak / hayal etmek,to make up / to invent
vinden,vond,vonden,hebben gevonden,K3_i-o-o,i/e → o → o (vinden/breken tipi),bulmak / düşünmek,to find / to think
volhouden,hield vol,hielden vol,hebben volgehouden,K7_a-ie-a,a/ou → ie → a (slapen/houden tipi),sürdürmek / dayanmak,to persist / to keep up
voordoen,deed voor,deden voor,hebben voorgedaan,UNIEK,"Kendine özgü tekil fiiller (doen, gaan, staan, slaan)",göstermek / taklit etmek,to demonstrate / to imitate
